Date,CORDILLERA ADMINISTRATIVE REGION (CAR),REGION I (ILOCOS REGION),REGION II (CAGAYAN VALLEY),REGION III (CENTRAL LUZON),REGION IV-A (CALABARZON),MIMAROPA REGION,REGION V (BICOL REGION),REGION VI (WESTERN VISAYAS),REGION VII (CENTRAL VISAYAS),REGION VIII (EASTERN VISAYAS),REGION IX (ZAMBOANGA PENINSULA),REGION X (NORTHERN MINDANAO),REGION XI (DAVAO REGION),REGION XII (SOCCSKSARGEN),REGION XIII (CARAGA),BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)
11/1/1992,33011.67041,292298.073,185130.4045,438830.7278,80799.83649,150923.9937,99237.77387,249718.9284,30094.91407,42829.23627,44371.24448,77388.64588,50336.64666,71433.25643,19652.01731,13176.8046
12/1/1992,24606.18183,206987.5976,151783.2771,332361.7932,66042.79761,111965.7167,95850.49505,234415.3645,27704.58249,49949.63525,40476.27641,66541.96023,41542.41068,67213.95763,16933.77132,11425.63955
1/1/1993,8922.631834,55979.86034,85174.94528,135295.3597,37623.68572,41484.41955,88920.3462,212814.4135,22704.77494,62615.22758,35321.81921,48517.39733,23840.09283,63546.29213,8938.150104,9821.635098
2/1/1993,4293.257106,16731.16328,61192.91145,71527.28447,26797.79162,19347.47694,85662.85617,197950.682,20560.84658,70427.47806,31560.95433,39068.60726,17438.04435,59290.04567,7229.026444,8043.832688
3/1/1993,6016.11106,13775.97637,68142.14328,84284.35581,29457.52266,21666.10351,68069.79762,135961.9045,17434.37848,52002.29437,24122.22646,29547.99541,20875.86283,44956.6622,13685.82345,6603.532214
4/1/1993,13480.91614,18097.56895,98970.59185,152783.3007,41290.68346,38845.33456,41927.37632,21866.96268,13403.91637,21561.90873,10321.80336,13797.04906,31339.93652,19062.02458,33148.29069,2940.005041
5/1/1993,16482.04739,13155.07385,108129.6942,172868.2018,44710.09514,42600.54985,27314.09503,3542.655804,10474.98294,9729.975572,5719.586032,7238.211838,35771.22817,10139.94571,43774.10696,2119.880967
6/1/1993,12422.03647,9406.357194,80490.71399,121214.4974,35831.2214,30712.11559,23906.52865,7690.381521,9131.100697,8519.115702,10615.61061,10465.7391,31802.83532,16899.02971,32922.60235,6265.113992
7/1/1993,3333.310882,393.1929225,26195.83962,15160.96316,16696.8754,4502.120452,15829.92302,27017.8406,5752.779884,6330.360235,24272.69524,17517.63727,22874.50157,36303.6784,12242.14775,21011.91054
8/1/1993,1714.889784,132.665791,12496.64303,3902.898444,11196.44737,1658.725363,13198.49647,36484.09986,4759.991668,5281.521859,31934.02244,21646.57556,19613.25398,46675.57934,6223.157472,29378.51594
